cell_ID,cohort_Nr,Species,H,HCB,D,N
1,1,pabi,3041.5138297828466,1512.8044863324105,48.7503482428891,3
1,2,fsyl,525.5565861660855,0,3.423610304137277,10
2,1,none,0,0,0,0
2,2,fsyl,567.3275678715204,74.20185245182023,3.7534651786067252,19
3,1,fsyl,204.18604827025686,10.584673917618042,0.8858284731200061,84
3,2,pabi,2349.6244645402658,1421.7244035513054,34.72295956543745,1
4,1,pabi,2468.6285142725674,2009.934384227125,36.64036860304886,1
4,2,fsyl,542.5921984804886,98.06123514957447,3.558136224574203,20
5,1,pabi,3184.6854686520614,1943.0779899386773,53.56715652716354,2
5,2,fsyl,2119.79544193533,932.0541332372875,26.879670956513674,1
6,1,pabi,3444.4253479617787,1964.4818915594908,71.43698843661704,1
6,2,fsyl,782.3746754794317,101.26747499534035,5.451637780468177,7
7,1,fsyl,247.02900792750674,16.24108189080005,1.2241484862645153,59
7,2,none,0,0,0,0
8,1,pabi,2595.769396275907,1441.8309309435438,38.82970984575135,2
8,2,none,0,0,0,0
9,1,pabi,3174.479639167884,1960.073883662798,53.17114651441918,3
9,2,none,0,0,0,0
10,1,pabi,2793.530266522218,2235.8099509481303,42.66007384159553,4
10,2,none,0,0,0,0
11,1,pabi,3334.8883022135597,1937.7673784177593,61.10010743382945,2
11,2,aalb,304.03198185807344,114.61089604688017,3.079985954040956,1
12,1,pabi,2957.2952683736894,1989.8400701696412,46.452136417502885,1
12,2,aalb,205.03470353614028,37.293485064011236,1.4986039251127876,21
13,1,pabi,3032.490758776888,2024.3383747346832,48.48919111527345,1
13,2,fsyl,188.0206523520097,10.719131856169943,0.7581744313987757,116
14,1,pabi,3065.9145124473093,1473.4505556679958,49.47733200936361,1
14,2,aalb,15.499199567295847,0,0,0
15,1,pabi,3245.599934558191,1515.8117120012837,56.173331222529974,2
15,2,aalb,102.36976690599356,0,0,0
16,1,fsyl,2439.3570387812338,1187.7167783043728,36.552858217093075,2
16,2,aalb,334.4588560505618,68.50468125828574,3.566024690257394,10
17,1,pabi,3184.9001670194048,1546.605433553119,53.575597645207544,2
17,2,fsyl,373.56317811772,4.844835831340525,2.223356815111571,26
18,1,pabi,3105.3044816391634,2260.6133810175825,50.72205626052035,3
18,2,fsyl,20.27087890309295,0.17711075842511106,0,0
19,1,pabi,2892.0709205406774,2088.309698082367,44.85258275402098,4
19,2,fsyl,2187.0117573521616,1217.454401556877,28.67672458481869,2
20,1,none,0,0,0,0
20,2,aalb,704.2874557276378,275.1117635890271,9.473664892356009,11
21,1,pabi,3183.1570262914483,1698.6997163971419,53.50719760011734,4
